eng	fra
Do I annoy you?	Est-ce que je vous embête ?
I lit the oven.	J'ai allumé le four.
I'm rich.	Je suis riche.
You look busy.	Tu as l'air occupé.
We had a deal.	On avait un accord.
I'll take it.	Je le prends.
You're crazy.	Tu es cinglé.
I loved you.	Je t'aimais.
She had twins.	Elle eut des jumeaux.
Grab that.	Saisis-toi de ça !
I need Internet.	J'ai besoin d'Internet.
Be very careful.	Soyez très prudente !
It was OK.	C'était correct.
What's up?	Ça va ?
Who was killed?	Qui a été tué ?
Good job!	Beau travail !
Everyone smiled.	Tout le monde a souri.
I got bored.	J'ai commencé à m'ennuyer.
They're drunk.	Elles sont saoules.
I'm positive.	J'en suis certain.
Take a chance.	Essayez !
Tom is eating.	Tom est en train de manger.
I have no time.	Je n’ai pas le temps.
Don't be rude.	Ne soyez pas impolie !
Is this wine?	Est-ce du vin ?
Let's live here.	Vivons ici !
I love apples.	J'adore les pommes.
Don't be naive.	Ne soyez pas naïve !
This is ugly.	C'est laid.
You decide.	Vous, décidez.
She is a typist.	Elle est dactylo.
Is it finished?	Est-ce terminé ?
I use Firefox.	J'utilise Firefox.
We study music.	Nous étudions la musique.
Could we walk?	Pourrions-nous marcher ?
It's cold.	C'est froid.
See below.	Voyez ci-dessous.
Here I am again.	Me revoilà.
Did you need me?	Avais-tu besoin de moi ?
Tom's packing.	Tom fait ses valises.
Did you vote?	Avez-vous voté ?
It was flat.	Elle était plate.
You promised.	Tu as promis.
Tom's diabetic.	Tom est diabétique.
How's Tom doing?	Comment Tom va-t-il ?
Hurry up.	Fiça !
You're welcome.	Je t'en prie.
Make me happy.	Rends-moi heureux.
They're broke.	Ils sont fauchés.
Please open it.	Ouvrez-le, je vous prie !
I can't give up.	Je ne peux pas m'arrêter.
He's an outlaw.	C'est un hors-la-loi.
We need a hero.	Il nous faut un héros.
I went home.	J'allais à la maison.
No way!	En aucune manière !
I think it's OK.	Je pense que c'est bon.
Don't overdo it.	N'en fais pas trop.
Let's try again.	Essayons encore une fois.
I need that.	C'est ce qu'il me faut.
I felt awful.	Je me suis sentie affreusement mal.
I'm through.	J'en ai fini.
I fed the horse.	J'ai nourri le cheval.
Go away.	Dégage !
My nose itches.	Le nez me gratte.
I had no money.	J'étais dépourvu d'argent.
You're old.	Tu es vieille.
They smell bad.	Elles puent.
You changed it?	Tu l'as changé ?
He's very ill.	Il est fort malade.
She kissed him.	Elle l'embrassa.
Let me sleep.	Laissez-moi dormir.
Give it to them.	Donne-la-leur.
Write to Tom.	Écrivez à Tom.
Let's go again.	Retournons-y.
Enjoy your day.	Bonne journée à vous !
I'm bilingual.	Je suis bilingue.
Don't ask.	Ne demande pas !
I have a truck.	Je dispose d'une camionnette.
It sickens me.	Ça me rend malade.
I was at home.	J'étais à l'appartement.
I got lost.	Je me suis perdu.
Are they busy?	Sont-ils occupées ?
We're winners.	Nous sommes des gagneurs.
She is French.	Elle est française.
This was easy.	C'était facile.
I was petrified.	J'étais pétrifié.
It matters.	Ça compte.
He's on his way.	Il est en chemin.
Can I afford it?	En ai-je les moyens ?
We'll try.	Nous essayerons.
It will heal.	Cela guérira.
Leave me alone!	Laisse-moi en paix !
Do you recycle?	Pratiquez-vous le recyclage ?
What a bore!	Quel emmerdeur !
That's OK.	Ça va.
I'll go first.	Je passerai en premier.
I'm a musician.	Je suis musicienne.
That's a fake.	C'est un faux.
You're crafty.	Vous êtes rusés.
I'm not normal.	Je ne suis pas normal.
She seems sad.	Elle a l'air triste.
This is a map.	Ceci est une carte.
Shall we go?	Y allons-nous ?
Just do it.	Fais-le, tout simplement !
I gave Tom that.	J'ai donné ça à Tom.
This is creepy.	C'est effrayant.
Make your move.	Fais ton déplacement.
We wanted you.	Nous te voulions.
He's studying.	Il étudie.
Tom did it all.	Tom a tout fait.
He had no money.	Il n'avait pas d'argent.
I'm tough.	Je suis dur à cuire.
He needs you.	Il a besoin de vous.
I'd better go.	Je ferais mieux d'y aller.
Stay positive.	Reste positive !
Buy me a drink.	Payez-moi un coup !
Turn left.	Tourne à gauche.
How big you are!	Comme tu es grand !
It'll be easy.	Ça sera facile.
Ask me tomorrow.	Demandez-moi demain.
I was attacked.	J'ai été attaquée.
Stop bragging.	Arrête de te vanter.
I often ski.	Je skie souvent.
I'll eat here.	Je mangerai ici.
I love winning.	J'adore l'emporter.
You're quiet.	Tu es tranquille.
I'm exhausted.	Je suis épuisé.
Run for it!	Prends tes jambes à ton cou !
Do you recycle?	Pratiques-tu le recyclage ?
I wanted to go.	Je voulais y aller.
I'm not hurt.	Je ne suis pas blessée.
I got shot at.	Je me suis fait tirer dessus.
I like your dog.	J'aime votre chien.
I'm fasting.	Je fais la diète.
You're welcome.	Je vous en prie.
I saw her home.	Je l'ai vue à son domicile.
What do you do?	Que faites-vous ?
I hate you.	Je te hais.
Look here.	Regardez ici.
It's misleading.	C'est spécieux.
Come in.	Entre !
I took a nap.	Je fis une sieste.
He was outraged.	Il était indigné.
I like these.	J'aime ceux-ci.
They let me go.	Elles m'ont laissée partir.
He is too old.	Il est trop vieux.
Did I blow it?	Est-ce que je l'ai foiré ?
I made these.	J'ai fait celles-ci.
Get rid of them.	Débarrassez-vous d'elles !
I was fired.	J'ai été licencié.
Tom was third.	Tom était troisième.
I am right.	J'ai raison.
We're lazy.	Nous sommes paresseux.
I'm happy here.	Je suis heureux, ici.
We'll win.	Nous gagnerons.
Let Tom sleep.	Laisse Tom dormir.
Are you home?	Es-tu à la maison ?
Nobody wants it.	Personne ne le veut.
That was ours.	C'était le nôtre.
I'm against it.	Je suis contre.
Is Tom around?	Tom est-il dans les environs ?
Is this a river?	Est-ce que c'est une rivière ?
You all right?	Tu vas bien ?
I'm no quitter.	Je ne baisse pas facilement les bras.
Clean it up.	Nettoie-le.
My hair is wet.	J'ai les cheveux mouillés.
You are big.	Tu es grande.
Come join us.	Venez vous joindre à nous !
Check that out.	Regardez ça.
Is anybody home?	Y a-t-il quelqu'un ?
I raise cattle.	J'élève du bétail.
Are you tired?	Êtes-vous fatiguées ?
Forgive us.	Pardonne-nous !
I must study.	Je dois étudier.
Who plays golf?	Qui joue au golf ?
I must go alone.	Je dois m'y rendre seul.
Who called you?	Qui vous a appelé ?
Tom felt safe.	Tom se sentait en sécurité.
Get lost!	Va au diable !
Shake my hand.	Serre-moi la main.
Don't be mean.	Ne sois pas mesquine !
It stinks.	Ça sent mauvais.
It's cold.	Il fait froid.
I lost my key.	Je perdis la clef.
Do you know him?	Vous le connaissez ?
Is that unfair?	Est-ce injuste ?
I was careless.	J'étais insouciante.
Stay calm.	Reste tranquille.
May I cut in?	Puis-je vous interrompre ?
I need a bag.	Il me faut un sac.
It wasn't luck.	Ce n'était pas de la chance.
I'm a member.	Je suis membre.
Tom's funny.	Tom est drôle.
I'm catching on.	Je capte.
Get the camera.	Prends l'appareil photo.
She's in danger.	Elle est en danger.
Will you go?	T'y rendras-tu ?
He's my age.	Il a mon âge.
I didn't stop.	Je n'ai pas cessé.
I made a list.	J'ai fait une liste.
Check these out.	Regardez celles-ci !
What's new?	Quoi de nouveau ?
I'm crazy.	Je suis folle.
Are you busy?	Êtes-vous occupé ?
That's my cat.	C'est mon chat.
I saw him.	Je l’ai vu.
I felt cheated.	Je me sentis trompée.
They want this.	Ils veulent ceci.
Is this blue?	Est-ce bleu ?
We knew enough.	Nous en savions assez.
We all die.	Nous mourons tous.
Get out!	Sortez !
Tom is vulgar.	Tom est vulgaire.
I hear only you.	Je n'entends que toi.
I am good.	Je suis bon.
Were you busy?	Étais-tu occupé ?
I didn't care.	Je n'ai pas prêté attention.
I'm angry.	Je suis énervé.
Is it any good?	Est-ce là bien agir ?
I want a drink.	Je veux quelque chose à boire.
Open up.	Ouvre.
It's a shortcut.	C'est un raccourci.
He cheated me.	Il m'a trompé.
I'm hungry!	J'ai faim !
I can't help.	Je n'y peux rien.
Think about it.	Pensez-y.
She is dieting.	Elle est au régime.
You're crafty.	Tu es rusé.
How can we tell?	Comment pouvons-nous le dire ?
Remove your hat.	Enlève ton chapeau.
He saw it, too.	Il l'a vu aussi.
It's too late.	Il est trop tard.
Come quickly!	Venez vite !
Follow that car.	Suis cette voiture.
Be very careful.	Soyez très prudent !
I teach French.	J'enseigne le français.
Feel this.	Touchez ça !
How big you are!	Comme vous êtes grande !
It won't work.	Ça ne marchera pas.
Tom isn't safe.	Tom n'est pas en sécurité.
He was brave.	Il était courageux.
He can swim.	Il sait nager.
She is sharp.	Elle est affûtée.
What a loss!	Quelle perte !
Don't lie.	Ne mens pas.
I was satisfied.	J'étais satisfaite.
He is my type!	Il est mon genre !
Stay in bed.	Restez au lit !
I'm a patient.	Je suis une patiente.
Do you know why?	Savez-vous pourquoi ?
I'd be grateful.	Je serais reconnaissant.
I'll come back.	Je reviens.
It was a hoax.	C'était un canular.
I'm mistaken.	Je fais erreur.
I'm truthful.	Je dis la vérité.
I was new.	J'étais nouvelle.
She tempted him.	Elle l'incita.
May I come in?	Je peux entrer ?
Now I'm sad.	Maintenant je suis attristé.
I'm introverted.	Je suis introvertie.
We're strong.	Nous sommes forts.
Here's $5.	Voilà cinq dollars.
We need Tom.	Nous avons besoin de Tom.
That is a table.	C'est une table.
Straighten up.	Redresse-toi.
I followed him.	Je l'ai suivi.
You look great.	Tu as l'air super.
Come back.	Revenez !
I have to go.	Je dois y aller.
I ran for mayor.	Je me suis présenté comme maire.
Be fair.	Soyez équitables !
They quarreled.	Elles se sont disputées.
I loved that.	J'ai adoré ça.
I like this.	J'apprécie ceci.
Don't kid me!	Ne me faites pas marcher !
We must go.	Nous devons y aller.
I did it once.	Je l'ai fait une fois.
I'm a surfer.	Je suis surfeur.
I'm successful.	J'ai du succès.
Cook the rice.	Cuisez le riz.
I'm offended.	Je suis offensée.
You are stupid.	Tu es stupide.
I have proof.	J'ai une preuve.
I loved you.	Je t'ai aimé.
We're careful.	Nous sommes prudentes.
We're all busy.	Nous sommes tous occupés.
Welcome back.	Soyez de nouveau le bienvenu !
It is too hot.	Il fait trop chaud.
I'm the teacher.	Je suis la professeur.
He has come!	Il est venu !
Tom is skiing.	Tom skie.
You're a liar.	Tu es une menteuse.
Come right in.	Entrez, je vous prie.
Don't worry.	T'inquiète pas.
I like yellow.	J'aime le jaune.
I'll marry you.	Je t'épouserai.
Talk to me!	Parle-moi !
Don't worry.	Ne vous en faites pas.
Be sensible.	Soyez raisonnable !
Keep on smiling.	Restez souriant.
I love summer.	J'adore l'été.
Follow Tom.	Suivez Tom.
It's for you.	C'est pour toi.
This is crazy.	C'est fou.
Buy me a drink.	Offrez-moi un coup !
They sweated.	Ils ont transpiré.
You're through.	Tu en as fini.
I'll be at home.	Je serai chez moi.
Let's not panic.	Ne paniquons pas.
Get on with it.	Continue !
Sorry, I forgot.	Désolé, j'ai oublié.
I saw it.	Je l'ai vu.
I freaked out.	J'ai eu les foies.
That is so cool.	C'est tellement sympa !
That's easy.	C'est simple.
He lost his job.	Il a perdu son travail.
He squinted.	Il loucha.
You look fat.	Vous avez l'air gros.
Tom loves dogs.	Tom aime les chiens.
I broke my arm.	Je me suis cassé le bras.
Is it clean?	Est-ce propre ?
Forget Tom.	Oubliez Tom.
Go for broke!	Joue le tout pour le tout !
Talk to me.	Parlez avec moi.
She's too loud.	Elle parle trop fort.
I go to work.	Je vais travailler.
Let me go alone.	Laisse-moi tranquille.
Tom's helping.	Tom aide.
I'm impulsive.	Je suis impulsif.
It's a fake.	C'est une contrefaçon.
He likes money.	Il apprécie l'argent.
I'm the boss.	C'est moi la patronne.
They're tired.	Ils sont fatigués.
It's quite safe.	C'est plutôt pépère.
I was careful.	J'ai été prudent.
I'm married now.	Je suis marié maintenant.
He wants to go.	Il veut s'en aller.
You're early.	Tu viens tôt.
Stop trying.	Arrête d'essayer.
We need more.	Nous avons besoin de plus.
Go away!	Dégage !
You're a pig.	Tu es une égoïste.
Now means now.	Maintenant veut dire maintenant.
I want to go.	Je veux m'en aller.
I speak French.	Je parle français.
He just arrived.	Il vient d'arriver.
He let me go.	Il me laissa m'en aller.
It's about time.	Il est grand temps.
He saw the girl.	Il vit la fille.
Stand aside.	Écartez-vous.
I'm speechless.	Je suis sans voix !
We're waiting.	Nous sommes en train d'attendre.
You're amusing.	Tu me fais marrer.
I'll stay home.	Je resterai à la maison.
You look happy.	Tu as l'air heureuse.
This is ours.	C'est le nôtre.
Oh no!	Oh non !
I should go.	Je devrais y aller.
You're first.	Tu passes en premier.
I washed it.	Je l'ai lavé.
The cat is wet.	Le chat est mouillé.
I got sick.	Je suis devenue malade.
Yes, we can go.	Oui, nous pouvons partir.
It'll be better.	Ça s'améliorera.
No one escaped.	Personne ne s'est échappé.
He looks gloomy.	Il a l'air sombre.
Leave me alone.	Laisse-moi tranquille.
Did I hurt you?	T'ai-je blessé ?
Bring a lunch.	Apporte à dîner !
It made sense.	Ça avait du sens.
We're sinking.	Nous sommes en train de couler.
That's alright.	Ce n'est pas grave.
Do that for me.	Faites ça pour moi.
Close the hatch.	Ferme la trappe.
Do you drink?	Buvez-vous ?
Be careful.	Sois prudente !
Do you miss it?	Vous manque-t-il ?
Do fish sleep?	Les poissons dorment-ils ?
Did I wake you?	T'ai-je réveillé ?
I felt betrayed.	Je me suis senti trahi.
I'll go anyway.	J'irai, de toutes façons.
She has a bike.	Elle a un vélo.
I'm tidy.	Je suis ordonnée.
I ate a donut.	J'ai mangé un beignet.
It's my book.	C'est mon livre.
Do you know me?	Me connaissez-vous ?
I washed it.	Je l'ai lavée.
Koalas are cute.	Les koalas sont mignons.
I'm Tom.	Je suis Tom.
He has a video.	Il dispose d'une vidéo.
Move over.	Poussez-vous.
I didn't notice.	Je n'ai pas remarqué.
I've got a cold.	Je suis enrhumé.
He wants more.	Il en veut davantage.
It's not weird.	Ce n'est pas bizarre.
I did my part.	J'ai fait ma part.
It's quite good.	C'est assez bon.
This works.	Ça fonctionne.
Are you insane?	Tu es folle ?
Tom is chubby.	Tom est grassouillet.
I despise you.	Je te méprise.
Have some ham.	Prends du jambon.
She's very tall.	Elle est très grande.
I know French.	Je sais le français.
I was pleased.	J'ai été contente.
Open your eyes.	Ouvre tes yeux.
We are late.	Nous sommes en retard.
Let's do it!	Faisons-le !
Bring a date.	Amène une copine !
I have to stop.	Je dois cesser.
Remember it.	Souvenez-vous-en.
Get rid of her.	Débarrassez-vous d'elle !
Be careful, Tom.	Fais attention, Tom.
He stood up.	Il se mit debout.
Be creative.	Soyez créatifs !
I'm unhappy.	Je suis mécontente.
I'm winning.	Je gagne.
We knew no one.	Nous n'en connaissions aucune.
That a boy!	T'es un bon garçon !
I don't date.	Je ne sors pas avec une fille.
I hate liars.	Je déteste les menteurs.
Is today Monday?	Sommes-nous lundi ?
I need a room.	J'ai besoin d'une chambre.
He mentioned it.	Il le mentionna.
They're drunk.	Ils sont saouls.
Don't speak.	Ne parle pas.
I'm interested.	Je suis intéressé.
You look bored.	Tu as l'air de t'ennuyer.
I want one, too.	J'en veux un aussi.
I can't do that.	Je n'arrive pas à le faire.
No one left.	Personne n'est parti.
He was invited.	Il a été invité.
I feel blue.	Je me sens déprimé.
Happy New Year!	Bonne année !
I contributed.	Moi j'ai contribué.
Do you get it?	Pigez-vous ?
You seem busy.	Tu sembles occupée.
Tom's lying.	Tom ment.
It took all day.	Cela prit toute la journée.
I'm upstairs.	Je suis au-dessus.
I called you.	Je t'ai appelée.
Who wants it?	Qui veut ça ?
Don't remind me.	Ne me le rappelle pas !
I got dumped.	J'ai été larguée.
How about 12:45?	Que diriez-vous d'une heure moins le quart ?
I feel lonely.	Je me sens seul.
He let me go.	Il m'a laissé partir.
We must talk.	Il faut que nous discutions.
I think it's OK.	Je pense que ça colle.
Look again.	Regardez à nouveau.
Memorize it.	Mémorisez-le.
I love to teach.	J'adore enseigner.
You did this.	Vous avez fait ceci.
It was a rumor.	C'était une rumeur.
I hated school.	J'ai détesté l'école.
Take that back.	Retire ça !
I'll attend.	J'y assisterai.
Are we done?	En avons-nous terminé ?
He loves her.	Il l'aime.
We got lucky.	On a eu de la chance.
I prepaid.	J'ai payé d'avance.
They struggled.	Ils ont morflé.
Do it now.	Faites-le maintenant.
Don't worry.	T'inquiète.
Who is on duty?	Qui est de service ?
Are you at home?	Tu es chez toi ?
Make it smaller.	Fais-la plus petite.
A car went by.	Une voiture passa.
Am I boring you?	Est-ce que je t'ennuie ?
Tom's gone.	Tom est parti.
Keep it.	Gardez-le !
I need a helmet.	Il me faut un casque.
Be merciful.	Soyez cléments !
You're not bad.	Vous n'êtes pas mal.
Wake the kids.	Réveille les enfants.
We're certain.	Nous sommes certains.
I was disgusted.	J'étais dégoûté.
Here he comes.	Le voici.
Go away!	Pars !
Burn the body.	Brûle le corps.
He's Swiss.	Il est Helvète.
Isn't it nice?	N'est-ce pas gentil ?
Life is hard.	La vie est dure.
They won.	Elles ont gagné.
Did I wake you?	T'ai-je réveillée ?
Are you nervous?	Êtes-vous nerveux ?
I'm about ready.	Je suis presque prêt.
You drive.	Toi, conduis !
Lock the door!	Verrouillez la porte !
Please stop.	S'il vous plaît, arrêtez.
It's a rental.	Il s'agit d'une location.
Are you home?	Es-tu chez nous ?
I'm not mad.	Je ne suis pas folle.
Fetch me my hat.	Ramène-moi mon chapeau.
He will survive.	Il survivra.
How rude of you!	C'est grossier de votre part !
Who won?	Qui l'a emporté ?
I'm a bit tipsy.	Je suis un peu éméchée.
Don't be upset.	Ne sois pas fâché !
We should wait.	Nous devrions attendre.
Is it not black?	N'est-ce pas noir ?
